county,state,fips,cases,deaths,population,casespc,deathspc,cty,county_name,cty_pop2000,cz,cz_name,cz_pop2000,statename,state_id,stateabbrv,csa,csa_name,cbsa,cbsa_name,intersects_msa,cur_smoke_q1,cur_smoke_q2,cur_smoke_q3,cur_smoke_q4,bmi_obese_q1,bmi_obese_q2,bmi_obese_q3,bmi_obese_q4,exercise_any_q1,exercise_any_q2,exercise_any_q3,exercise_any_q4,brfss_mia,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,adjmortmeas_amiall30day,adjmortmeas_chfall30day,adjmortmeas_pnall30day,med_prev_qual_z,primcarevis_10,diab_hemotest_10,diab_eyeexam_10,diab_lipids_10,mammogram_10,amb_disch_per1000_10,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate,pop_d_2000_1980,lf_d_2000_1980,cs_labforce,cs_elf_ind_man,cs_born_foreign,mig_inflow,mig_outflow,pop_density,frac_traveltime_lt15,hhinc00,median_house_value,ccd_exp_tot,ccd_pup_tch_ratio,score_r,dropout_r,cs_educ_ba,tuition,gradrate_r,e_rank_b,cs_fam_wkidsinglemom,crime_total,subcty_exp_pc,taxrate,tax_st_diff_top20,summer_tmmx,summer_rmax,winter_tmmx,winter_rmax,pm25,bmdeaths,bmcruderate,pm25_mia
Autauga,Alabama,01001,4434,152,918492,482.7478,16.548864,1001,Autauga,43671,11101,Montgomery,367927,Alabama,1,AL,,,33860,"Montgomery, AL",1,.33333334,.23809524,.20833333,.13333334,.375,.23809524,.26086956,.13333334,.5,.66666669,.66666669,.80000001,0,13.601278,9489.02,.79973507,.14656377,.11177799,.15004025,.57476449,85.5282703830463,84.7715736040609,72.419627749577,83.9255499153976,68.46590909090909,70.94999980926509,.03645476,.043313328,.037231367,.12821591,.37997571,.10922839,.06143,.51950002,-.897834067943676,56.112755,17.008999,1.3968079,.037379384,.35376173,.52753121,.65149277,.16478693,1.1655332,.0570401410547045,.0510178379244808,73.277412,.23312409,34379.539,126368.4,4.460056797135448,19.71598021026592,-7.3081331,.003900534,18,,,41.872879,.19159476,.0093531311,1059.6693,.011183022,0,306.02344,96.05542,288.08508,85.651848,11.712587,7893,859.29999,0
Baldwin,Alabama,01003,10465,278,3102984,337.25601,8.9591179,1003,Baldwin,140415,11001,Mobile,599405,Alabama,1,AL,380,"Mobile-Daphne-Fairhope, AL",19300,"Daphne-Fairhope-Foley, AL",1,.26809651,.23350254,.16746412,.17699115,.29805014,.26246721,.19323671,.13574661,.59943181,.74867725,.83499998,.83796299,0,19.085325,9618.34,-.11360165,.1455584,.10722943,.1155433,.11856617,83.215371641632,80.8710503842869,64.0478223740393,78.9923142613151,69.87399770904921,56.2099999189377,.032570876,.021566251,.041103493,.10054922,.48973811,.10147089,.12718999,.49911001,-.362413675859115,47.242817,10.224691,1.7562225,.039112385,.78745097,1.0376892,.5982495,.12544091,2.1059005,.0448598796424883,.0235373713634583,87.960236,.29552948,39219.598,163292.5,4.596590378327885,16.8509832313513,-13.628747,.0025388759,23.1,2055.6699,-.2471655,44.49239,.18677847,.0073710075,2209.9104,.011756281,0,305.51663,97.971542,290.20886,89.730972,10.077723,30292,976.20001,0
Barbour,Alabama,01005,3157,33,499262,632.33331,6.609756,1005,Barbour,29038,10301,Eufaula,61458,Alabama,1,AL,,,,,0,.22857143,.25,.18181819,.11111111,.29411766,.5714286,.54545456,.27777779,.54285717,.5714286,.90909094,.72222221,0,18.513805,9761.77,.5525707,.1699224,.10757498,.12593524,.067363322,88.8668419440759,85.8316221765914,67.5564681724846,81.51950718685831,64.7686832740214,109.259999990463,.021679502,.021776592,.020898161,.039993055,.49063659,.26799801,.097340003,.40832999,-1.499348799440666,41.170193,46.039669,1.6461188,.068131678,.17296816,.14500265,.48017386,.31374472,1.498037,.016564501687444,.0230732144087058,32.814877,.39412785,24274.195,91443.8,4.734407382312291,16.65671114599686,-15.955111,-.0071105631,10.9,,,37.718758,.33785343,.0077484674,1570.2483,.012058971,0,306.06226,97.371674,289.2421,88.633575,10.981967,5197,1040.9,0
Bibb,Alabama,01007,2291,24,397470,576.39569,6.0381918,1007,Bibb,20826,10801,Tuscaloosa,261112,Alabama,1,AL,142,"Birmingham-Hoover-Talladega, AL",13820,"Birmingham-Hoover, AL",1,.24444444,.28,.18181819,.15000001,.46666667,.375,.19047619,.1,.42222223,.56,.68181819,.75,0,17.718826,11269.81,1.8572743,.23440768,.11219043,.12962437,-.23559394,83.72387822546651,85.4785478547855,64.3564356435644,80.5280528052805,57.2289156626506,87.3299999237061,.017462416,.028094048,.0020483525,.10354976,.41709781,.20607495,.06622,.46136001,-.9304724363029591,46.36512,22.010948,1.008355,.061639342,.32455638,.43960127,.52889329,.2374796,.42735046,.0358206088543167,.0293383270911361,33.427227,.2465824,24927.521,99441.8,4.154156577885391,18.95819209039548,-14.8391,-.006157557,7.0999999,,,42.245155,.19772905,.0045135887,1338.4412,.0080066165,0,305.98218,96.293076,287.36282,86.48587,11.998714,4089,1028.8,0
Blount,Alabama,01009,2082,15,997531,208.71532,1.5037127,1009,Blount,51024,10700,Birmingham,1038182,Alabama,1,AL,142,"Birmingham-Hoover-Talladega, AL",13820,"Birmingham-Hoover, AL",1,.30434781,.26086956,.35294119,.16666667,.34782609,.31818181,.52941179,.23529412,.56521738,.47826087,.70588237,.72222221,0,19.280413,10238.2,1.7817365,.17795336,.11795069,.16297899,-.0030702923,84.62516917476189,84.46601941747571,68.15533980582531,79.22330097087379,66.02564102564099,95.18999981880189,.013379107,.015048956,.013171224,.079702742,.33304188,.11742806,.062809996,.59722,-1.304094641478837,50.791782,1.1719974,5.3269053,.032847144,.39948985,.60710204,.60572875,.19523369,3.098542,.0388248667293822,.0335724365004704,79.035255,.21390374,30229.857,115704.4,3.998976458546571,19.32381013306039,-10.218139,.011457284,9.6000004,,,49.04332,.12198818,.002018658,987.43884,.0070116743,0,305.17886,94.630951,285.56567,85.449142,11.793022,9912,993.70001,0
Bullock,Alabama,01011,2428,44,197588,1228.8196,22.268559,1011,Bullock,11714,9800,Auburn,150911,Alabama,1,AL,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16.243206,9567.91,-.2624715,.13970999,.10923404,.11139681,-1.0960833,80.28933394305589,76.1111111111111,66.6666666666667,72.7777777777778,56.9767441860465,117.259999990463,.021241747,.016002938,.010813415,.047157209,.46218148,.33484119,.14884999,.34630001,-1.424088482172803,21.043196,72.44323,2.7488475,.090816587,.10551152,.041689675,.41603264,.23219994,3.0561721,.0092197370667577,.0185248420693188,18.742023,.42294782,18084.561,75447.8,4.800756916129508,19.71759788825341,-18.839746,-.015715327,7.6999998,,,37.232834,.51721555,.0031586136,1858.1779,.0080108419,0,305.86771,97.13842,288.69131,89.168121,11.313557,2305,1166.6,0
Butler,Alabama,01013,8409,260,374201,2247.188,69.481377,1013,Butler,21399,11101,Montgomery,367927,Alabama,1,AL,,,,,1,.11538462,.13636364,.1,.22222222,.58333331,.33333334,.5,.22222222,.42307693,.81818181,.40000001,.66666669,0,17.095345,10612.92,-.17123505,.15919507,.091413729,.11891865,-.67651004,87.9770969656105,82.8125,63.02083333333329,79.4270833333333,59.8984771573604,142.95999956131,.023980023,.025616296,.015354693,.092676222,.49888429,.24618077,.11457,.37678,-.9046536597281077,50.007011,40.520584,.66825551,.068600416,-.012961254,.083433807,.54526699,.22945291,.364503,.0141128090097668,.0175709145287163,27.545246,.36354125,30493.453,76914.09999999999,4.646273367322165,17.33724204904103,-25.707706,.014176407,10.4,,,40.244465,.33039969,.0046263845,1299.3331,.011749152,0,306.15851,97.117401,289.31995,88.41468,10.804146,4986,1332.4,0
Calhoun,Alabama,01015,5950,133,2073654,286.93311,6.4137988,1015,Calhoun,112249,9600,LaGrange,457299,Alabama,1,AL,,,11500,"Anniston-Oxford-Jacksonville, AL",1,.29411766,.24035609,.17088607,.18248175,.25,.31707317,.26623377,.33582088,.54430377,.73063976,.82312924,.81060606,0,16.074638,11551.97,.0058152303,.15703145,.098395132,.12114692,-.5938068,83.5297385947601,80.0773694390716,62.862669245648,77.7562862669246,59.98389694041871,99.23999977111821,.053608049,.060882602,.046349186,.20809069,.43081859,.16111262,.10314,.53680998,-1.38122003515491,64.293671,18.463417,1.5617067,.050140291,-.062724926,-.061356414,.57834333,.21685891,1.6989015,.02098014236207,.021692843588807,184.48003,.31431344,31739.221,95442.8,4.285027441537111,19.37647325247848,-7.0255618,.0038184745,15.2,2506.3513,-.034473788,42.289951,.24217698,.008780445,1722.6158,.011815377,0,305.10696,96.385132,286.03229,86.585365,12.306849,24273,1170.5,0
Chambers,Alabama,01017,16336,1049,628820,2597.8818,166.82039,1017,Chambers,36583,9600,LaGrange,457299,Alabama,1,AL,194,"Columbus-Auburn-Opelika, GA-AL",46740,"Valley, AL",1,.23684211,.14814815,.14285715,.375,.44444445,.5,.2857143,.5,.66666669,.62962961,.71428573,.75,0,18.821367,9133.379999999999,.12552735,.17603263,.091151074,.1194643,-.21372616,81.01722383148589,86.0495436766623,58.5397653194263,82.7900912646675,64.5390070921986,89.2999999523163,.0069009587,.0060292832,.0055216621,.08246915,.42171121,.17036049,.10488,.50301999,-1.014654028862106,54.241043,37.919254,.76538283,.049431171,-.066545889,-.026753141,.58554852,.36833388,.80365193,.0234808517617473,.0274171063062078,61.260845,.37170514,28871.576,78513.7,5.094594961454074,16.51960604672469,-23.00996,.0025658049,9.5,,,38.910061,.3092832,.0069431155,1286.0668,.0084101297,0,305.66736,96.237213,287.58121,87.767601,11.423082,8333,1325.2,0
Cherokee,Alabama,01019,1121,23,454744,246.51233,5.0577908,1019,Cherokee,23988,6600,Rome,418304,Alabama,1,AL,,,,,1,.22727273,.17647059,.083333336,.16666667,.36363637,.3125,.45454547,.16666667,.36363637,.64705884,.75,.83333331,0,18.7789,10813.24,1.0006729,.16847253,.12485497,.12893893,.11679995,88.31995119635999,88.5947046843177,62.1181262729124,87.78004073319759,64.08450704225351,115.5,.0056314808,.0080533214,.0021002251,.014170052,.4047915,.15558663,.10685,.51244998,-2.183949930979594,52.584625,5.5319328,.85042518,.041400995,.27867803,.32687014,.54958552,.35834971,1.0797064,.0252626313156578,.0225946306486577,43.368462,.25521046,28795.928,101441.3,4.632765399737877,17.78228047182175,-11.426178,.016549628,9.6999998,,,44.802982,.14900427,.0037948291,1118.7125,.0075382846,0,305.25671,96.038086,285.22256,87.757225,12.176334,5479,1204.9,0
